name,address,region,phone,rating,rating_numbers,website,map
滋多屋,35045苗栗縣竹南鎮環市路三段153號,苗栗縣 / 竹南鎮,03 747 1410,4,103,https://m.facebook.com/profile.php?id=100063530662422,https://goo.gl/maps/YQ2XpYgGC2K7ByBNA
咔哩卡好kalikahao-咖哩飯定食 中式餐盒 炸物小點 塔塔醬定食,35053苗栗縣竹南鎮科專六路310號,苗栗縣 / 竹南鎮,0910 500 862,4.4,17,https://www.facebook.com/kalikahao2021/,https://goo.gl/maps/81mdcjc4jcqDP8G7A
好食咖哩專門店,35149苗栗縣頭份市信東路140號,苗栗縣 / 頭份市,03 766 7836,4.3,273,https://www.facebook.com/%E5%A5%BD%E9%A3%9F-%E6%97%A5%E5%BC%8F%E5%92%96%E5%93%A9-241740666237108/?fref=ts,https://goo.gl/maps/6LS88HZvPgFjP4PV9
魔法咖哩-頭份店,351苗栗縣頭份市中央路103號,苗栗縣 / 頭份市,03 766 0270,4.3,701,http://www.magiccurry.com.tw/,https://goo.gl/maps/hCcLLCEnmVW4JDfm6
雙醬咖哩(苗栗頭份店),351苗栗縣頭份市東民一街12號,苗栗縣 / 頭份市,03 768 8382,4.2,214,https://m.facebook.com/pg/NiceNine88/posts/,https://goo.gl/maps/mbXHanifBzSPVDx2A
冉冉日嚐,351苗栗縣頭份市東民一街29號,苗栗縣 / 頭份市,0905 928 864,4.3,365,https://instagram.com/ran________ran?utm_source=ig_profile_share&igshid=1p9zij4pupqj8,https://goo.gl/maps/Nzw99dkCshCJDnsT8
Daddy&Mommy,356苗栗縣後龍鎮中龍里市興8號,苗栗縣 / 後龍鎮,03 773 0852,4.1,322,Nah,https://goo.gl/maps/wk1oZE96C8Bc18aZA
OLULU Cafe & 傑恩咖啡工廠,358苗栗縣苑裡鎮火炎山七路180號,苗栗縣 / 苑裡鎮,04 2687 2980,4.4,195,http://coffee.justgotw.com/,https://goo.gl/maps/6PZnN7NW5MuVTS8W8
二分之三咖哩專門店（不定休，請留意粉絲專頁公告）,360苗栗縣苗栗市中正路52號,苗栗縣 / 苗栗市,03 727 6896,4.7,328,https://www.facebook.com/%E4%BA%8C%E5%88%86%E4%B9%8B%E4%B8%89%E5%92%96%E5%93%A9-471444120307252,https://goo.gl/maps/AvcRSQoekC1g5LgYA
雙醬咖喱-苗栗店,360苗栗縣苗栗市中正路944號,苗栗縣 / 苗栗市,0938 776 073,3.1,28,https://m.facebook.com/%E9%9B%99%E9%86%AC%E5%92%96%E5%93%A9-%E8%8B%97%E6%A0%97%E5%BA%97-114988120374368/?ref=bookmarks,https://goo.gl/maps/8JRTK4e2oZayxjBV6
巧芫家庭廚房,360苗栗縣苗栗市自治路2巷24號,苗栗縣 / 苗栗市,03 733 2866,4.2,74,https://family332866.wordpress.com/,https://g.page/family332866?share
淺草 咖哩蛋包,360苗栗縣苗栗市府前路96號,苗栗縣 / 苗栗市,03 736 5998,4.7,95,https://restaurant-1111826.business.site/?utm_source=gmb&utm_medium=referral,https://goo.gl/maps/MirMJ8bx5HRUDrfUA
meeting。食 手作餐點,360苗栗縣苗栗市新苗街75號,苗栗縣 / 苗栗市,0911 828 383,4.3,48,https://www.facebook.com/meeting0715/,https://goo.gl/maps/QqyinT1ZAotYaQui8
152日安咖啡,362苗栗縣頭屋鄉明德路152號,苗栗縣 / 頭屋鄉,03 725 5955,4.3,134,https://www.facebook.com/152riancafe/,https://g.page/152riancafe?share
