name,address,region,phone,rating,rating_numbers,website,map
森也 手作 南投店 丼飯/咖哩/炸物,540南投縣南投市三和二路46號,南投縣 / 南投市,04 9220 0218,4,90,https://www.facebook.com/senyehnantou,https://goo.gl/maps/yomg9WtP1rhdik5HA
Kètīng客廳,545南投縣埔里鎮八德路263號,南投縣 / 埔里鎮,04 9299 4673,4.2,744,https://m.facebook.com/keting2017/,https://g.page/keting2017?share
靠山 咖哩,545南投縣埔里鎮大城路33-12號,南投縣 / 埔里鎮,04 9291 6185,4.6,168,https://www.facebook.com/kho.suann/?modal=admin_todo_tour,https://goo.gl/maps/Eg3gLa2NqLt84r8J8
Baku Paku,545南投縣埔里鎮中山路三段373號,南投縣 / 埔里鎮,0900 633 683,4,89,https://www.facebook.com/BakuPakuPuli/,https://goo.gl/maps/kEK3gPhasMZQSpvTA
腸腸來_Come Often_,545南投縣埔里鎮北平街35號之25號,南投縣 / 埔里鎮,0906 668 642,4.9,110,https://www.facebook.com/ComeOften/,https://g.page/ComeOften?share
不靠海,545南投縣埔里鎮忠孝三路14號,南投縣 / 埔里鎮,Nah,4.5,425,https://www.facebook.com/BSMochi/,https://goo.gl/maps/DuqoV1CRXYg3h3vg7
龜隱田園（在喫鍋裡面）,545南投縣埔里鎮忠孝路12號,南投縣 / 埔里鎮,04 9299 0085,4.9,36,https://www.facebook.com/%E9%BE%9C%E9%9A%B1%E7%94%B0%E5%9C%92-101053485496516,https://goo.gl/maps/yRAkALkzppVt7Zax9
初煦咖哩,545南投縣埔里鎮信義路1065號,南投縣 / 埔里鎮,0911 617 161,5,5,https://www.instagram.com/true.dish/,https://goo.gl/maps/pA3QUUGPoUX5tmYW7
山上山下,545南投縣埔里鎮桃米路33-1號,南投縣 / 埔里鎮,0974 032 894,4,281,https://www.facebook.com/3s3s.tw/,https://g.page/3S3STW?share
吾食吾客 咖喱飯 鍋燒 鬆餅,551南投縣名間鄉員集路123號,南投縣 / 名間鄉,04 9273 0878,4.8,16,https://www.facebook.com/MyTimeMyCafeRestaurant/,https://g.page/FoodNoodleCoffeeDessert?share
蠻荒咖啡 Desolate Coffee,555南投縣魚池鄉文化巷41號,南投縣 / 魚池鄉,04 9289 7903,4.1,2832,https://www.facebook.com/desolatecoffee,https://goo.gl/maps/bAeXATxKffVt1sn49
冰山角-冰品、咖哩、炸雞炸物專賣店,557南投縣竹山鎮大明路401-2號,南投縣 / 竹山鎮,04 9265 7139,4.2,109,https://www.facebook.com/people/%E5%86%B0%E5%B1%B1%E8%A7%92-%E5%86%B0%E5%93%81%E5%B0%88%E8%B3%A3%E5%BA%97/100063888372546/,https://goo.gl/maps/tYin3ELq6fSY4Kbz6
竹山 雙醬咖哩,557南投縣竹山鎮埔頭街1巷6號,南投縣 / 竹山鎮,0976 746 458,5,5,Nah,https://goo.gl/maps/pPvEc4dXCYQQyiMn8
