name,address,region,phone,rating,rating_numbers,website,map
一中咖哩王,400台中市中區三民路三段120巷7號,台中市 / 中區,0915 597 555,4.5,762,Nah,https://goo.gl/maps/sujpYWGxY6LaK89V9
小次男 咖哩所,400台中市中區成功路156號,台中市 / 中區,Nah,4.2,1277,https://www.facebook.com/JinanCurry,https://goo.gl/maps/EYTZHQKVdzYS1jge6
熬匠（咖哩專賣/外帶優惠）,401台中市東區大勇街27號,台中市 / 東區,04 2224 2010,4.4,302,https://m.facebook.com/pages/category/Restaurant/%E7%86%AC%E5%8C%A0-107368814306421/,https://goo.gl/maps/a61nxej48yjuKFK59
「Mr.咖哩」大魯閣新時代,401台中市東區復興路四段186號6樓,台中市 / 東區,04 2228 1006,4.2,784,https://www.facebook.com/Mrcurrytaichung/,https://goo.gl/maps/S2jpMDVBg2hdy6NH6
茶寮侘助,401台中市東區進化路205巷5號,台中市 / 東區,Nah,4.2,446,https://www.facebook.com/saryouwabisuke/timeline,https://goo.gl/maps/QH328nW5EcGFGWV47
咖哩友丸子,401台中市東區精武路35號,台中市 / 東區,04 2213 7455,0,0,Nah,https://goo.gl/maps/f7WSgDudwMY6KdEYA
小惡魔咖哩屋,401台中市東區樂業路432號,台中市 / 東區,0986 320 976,3.9,40,https://www.facebook.com/%E5%B0%8F%E6%83%A1%E9%AD%94%E5%92%96%E5%93%A9%E5%B1%8B-101802634820322/,https://goo.gl/maps/uNnMvzuexGJnU9Qn8
北海道-禾荳家カレー屋(北海道湯咖哩專賣店),402台中市南區工學路13-17號,台中市 / 南區,04 2260 8268,4.5,915,https://www.hedoujia.com/,https://g.page/hedoujia?share
雙醬咖哩 忠孝興大店,402台中市南區忠孝路135-10號,台中市 / 南區,0906 277 935,4.3,304,https://bistro-766.business.site/,https://goo.gl/maps/XZtw2HEM11hoiuXYA
胖。咔哩 パン CURRY（咖哩＆早午餐製販所）,402台中市南區忠明南路795號,台中市 / 南區,04 2260 0710,4.8,268,https://www.facebook.com/paocurry.tw/,https://goo.gl/maps/1Zrp8zh2zqgQhmNUA
大匠屋（咖哩棧）,402台中市南區美村路二段299號,台中市 / 南區,04 2265 8217,4.3,117,https://www.facebook.com/curry4928/,https://g.page/curry4928?share
咖哩魂蛋Kalihundan/夜行魂蛋Yexinghundan,402台中市南區頂橋三巷76號,台中市 / 南區,0963 780 661,4.6,406,https://m.facebook.com/kalihundan/,https://goo.gl/maps/DF1GKzmyxACyV9XN9
小野咖哩（小野カレー）,403台中市西區中興三巷26號,台中市 / 西區,04 2301 0320,4.7,38,https://m.facebook.com/%E5%B0%8F%E9%87%8E%E5%92%96%E5%93%A9%E5%B0%8F%E9%87%8E%E3%82%AB%E3%83%AC%E3%83%BC-101479822342760/,https://goo.gl/maps/JBBfhYQzRkHa92cX9
飪室咖哩 RenshiCurry 創始店,403台中市西區公正路168號,台中市 / 西區,04 2301 0857,4.5,1947,https://www.renshi20161101.com/,https://g.page/Renshicurry?share
金禾食堂,403台中市西區公正路215號,台中市 / 西區,04 2305 4558,4.7,618,https://restaurant-71471.business.site/?utm_source=gmb&utm_medium=referral,https://g.page/eat0099?share
爺兒咖哩（台中SOGO店）,403台中市西區台灣大道二段459號15樓,台中市 / 西區,04 2328 0716,5,6,https://instagram.com/earcurry.tcsogo?utm_medium=copy_link,https://goo.gl/maps/x5oyVY4pPVAeamt29
咖哩老師,403台中市西區民生北路110號1樓,台中市 / 西區,0956 222 395,4.2,365,https://www.facebook.com/GaLiTeacher/,https://goo.gl/maps/Aj4VEEYXmmdLTVvc7
Come Late Caf'e,403台中市西區西屯路一段173-10號,台中市 / 西區,0923 020 345,1.1,139,http://www.facebook.com/17310cafe,https://goo.gl/maps/wAXBipEXh3HG3GSV9
爺兒咖哩（台中金山店）,403台中市西區金山路6-1號1號樓之1,台中市 / 西區,04 2221 6529,4.5,85,https://www.facebook.com/eareurry.TCJS/,https://goo.gl/maps/zdN9Ve2MvJkfkg9R6
飪室咖哩 RenshiCurry 勤美店,403台中市西區美村路一段149巷19號,台中市 / 西區,04 2322 0857,4.2,1214,https://www.renshi20161101.com/,https://g.page/Renshicurry2?share
Smile Curry,403台中市西區美村路一段806號,台中市 / 西區,04 2372 8305,4.1,349,https://www.facebook.com/WeiXiaoKaLi,https://goo.gl/maps/iWYZWSDpLZEwSNRK6
Offercurries 咖哩厚 台灣茶咖哩,403台中市西區英才路470巷13號,台中市 / 西區,04 2321 0603,4.6,1311,https://www.facebook.com/offercurries,https://g.page/offercurries?share
亨利咖哩屋餐廳,403台中市西區博館路197號,台中市 / 西區,04 2319 7372,4,260,Nah,https://goo.gl/maps/UWJoGYk3PSLGr5yK7
綠光咖哩。味自慢,403台中市西區精誠路19號,台中市 / 西區,04 2326 6165,4.3,1017,https://lerayonvert23266165-curry.business.site/,https://g.page/greenlightcoffee2?share
別嗆大叔,403台中市西區模範市場一巷10 號,台中市 / 西區,04 2301 1625,4.6,2013,https://www.facebook.com/djrose0319/,https://g.page/djrose0319?share
盛食咖哩店-勤美店,403台中市西區模範街23巷12-3號,台中市 / 西區,04 2301 0213,4.4,367,https://www.facebook.com/chengshihcurry2,https://goo.gl/maps/bHkUKRGpESp7d4C48
微笑咖哩 漢口店,40441台中市北區漢口路三段134號,台中市 / 北區,04 2295 5682,4.2,171,https://japanese-curry-restaurant-468.business.site/?utm_source=gmb&utm_medium=referral,https://goo.gl/maps/ykKEDCAggu2ZxdRu8
刺蝟咖哩,40455台中市北區錦新街52號,台中市 / 北區,04 2225 4989,4.4,500,https://www.facebook.com/harinezumicurrytaiwan/,https://goo.gl/maps/raxMrSB3AL3LCXqp9
Mr.38 咖哩美食餐廳（一中店）,404台中市北區一中街109號,台中市 / 北區,04 2223 0866,4.5,4528,https://mr38-japanese-curry-restaurant.business.site/?utm_source=gmb&utm_medium=referral,https://goo.gl/maps/tbKsfFKpRAe5pPi27
丸勝咖哩洋食,404台中市北區一中街95號,台中市 / 北區,04 2220 3137,4.3,2113,https://shop.ichefpos.com/store/jMGHBFcU/ordering,https://goo.gl/maps/xhaKfdHEsXGpQWgz8
Corico咖哩食所,404台中市北區山西路一段55號,台中市 / 北區,04 2292 0658,4.8,380,https://www.facebook.com/coricocurry/,https://goo.gl/maps/s8THvJ84vgio1MYe7
老王咖哩,404台中市北區五義街149號,台中市 / 北區,04 2207 1188,4.7,48,https://instagram.com/currywang2021?utm_medium=copy_link,https://goo.gl/maps/XS8WbXi9JcDP8zrC6
新高軒台中店,404台中市北區太平路75巷4號,台中市 / 北區,04 2229 6696,4.6,1241,https://www.facebook.com/nitakaken.txg/,https://goo.gl/maps/xGxgYXtSTQx9WKAFA
Coffury Studio No.71,404台中市北區忠太西路71號,台中市 / 北區,04 2208 0818,4.4,260,https://www.facebook.com/CoffuryStudioNo.71/?modal=admin_todo_tour,https://goo.gl/maps/KaSUjfUgxSt8uLez8
中川旭 熟成咖喱,404台中市北區育才北路9號1樓,台中市 / 北區,04 2229 1828,4,25,https://m.facebook.com/A22291828/?ref=bookmarks,https://goo.gl/maps/SmT5eqSseFmjHjQ97
渼金咖哩,404台中市北區青島西街60號,台中市 / 北區,04 2299 2369,4.8,937,https://www.facebook.com/doru.jp/,https://g.page/doru-jp?share
伊番燒咖喱弁當專賣,404台中市北區崇德路一段246號,台中市 / 北區,04 2232 2002,4.5,2,Nah,https://goo.gl/maps/quhf5B3DjnH14zvj8
哩享糧品 咖哩研製所,404台中市北區崇德路一段510號,台中市 / 北區,04 2235 5030,4,984,https://www.facebook.com/currylaboratory168/,https://goo.gl/maps/rcsKhtq9J9aY6kCD7
