name,address,region,phone,rating,rating_numbers,website,map
酷咖哩,63050雲林縣斗南鎮守成街40號,雲林縣 / 斗南鎮,0978 618 350,4.9,23,https://www.facebook.com/100521194977179/,https://goo.gl/maps/6E6QSDn7JXU5iX4X9
Nice nine 雙醬咖哩 斗南文元店,630雲林縣斗南鎮文元二街40號,雲林縣 / 斗南鎮,0988 867 938,4,86,https://www.facebook.com/Nice-nine-%E9%9B%99%E9%86%AC%E5%92%96%E5%93%A9%E6%96%97%E5%8D%97%E5%BA%97-107845747795492/,https://goo.gl/maps/v8nEfQ5BJt9hZL4f8
二姐日式蛋包飯,632雲林縣虎尾鎮中山路3號,雲林縣 / 虎尾鎮,05 636 1335,4.1,408,https://m.facebook.com/profile.php?id=183059131724937,https://goo.gl/maps/qADaErap4rsegjB4A
野島家咖哩屋-虎尾店 虎尾推薦美食,632雲林縣虎尾鎮中山路4號,雲林縣 / 虎尾鎮,05 633 7888,4.3,223,https://www.facebook.com/yadojia/,https://goo.gl/maps/5q7tuW43gMW5raE6A
咖哩老師虎尾店,632雲林縣虎尾鎮中央街7號,雲林縣 / 虎尾鎮,0987 990 993,4.6,94,https://www.facebook.com/YunlinCurry/,https://goo.gl/maps/aUWJJJQda3KNSrZA7
雙醬咖哩－虎尾店,632雲林縣虎尾鎮中正路319號,雲林縣 / 虎尾鎮,05 632 8235,4.2,46,https://m.facebook.com/%E9%9B%99%E9%86%AC%E5%92%96%E5%93%A9%E8%99%8E%E5%B0%BE%E5%BA%97-105034451812722/?tsid=0.9496807192929191&source=result,https://goo.gl/maps/FXZoNXyXqB7XbGDA7
墨魚廚房 Pastaco pasta & risotto 義式餐廳,632雲林縣虎尾鎮文化路53號,雲林縣 / 虎尾鎮,05 636 6505,4.2,698,https://www.facebook.com/pastacorocky/,https://goo.gl/maps/obKvzWQKs1HWCyij8
第8間咖哩,632雲林縣虎尾鎮文化路88號,雲林縣 / 虎尾鎮,05 631 1288,4.3,230,https://www.facebook.com/curryineight/?ref=nf,https://goo.gl/maps/sNn3RpZDnYMeHnDC6
深深小吃,632雲林縣虎尾鎮四維街62號,雲林縣 / 虎尾鎮,Nah,4.5,74,Nah,https://goo.gl/maps/1y2af63RoffDwdJf9
Sunny·桑尼 咖哩&義式料理,64052雲林縣斗六市鎮北路63-1號,雲林縣 / 斗六市,05 532 7776,4.1,83,https://www.facebook.com/Sunny%E6%A1%91%E5%B0%BC-%E5%92%96%E5%93%A9%E7%BE%A9%E5%BC%8F%E6%96%99%E7%90%86-395071064618192/,https://goo.gl/maps/2HR6PuUBr42LZtSF9
鑶勝熟成豚專賣,640雲林縣斗六市三民路39號,雲林縣 / 斗六市,Nah,4.4,570,https://www.facebook.com/%E9%91%B6%E5%8B%9D%E6%97%A5%E5%BC%8F%E8%B1%AC%E6%8E%92-112002603748333/,https://goo.gl/maps/PhzK8Tb6DgEQk1C46
旭咖哩專賣店,640雲林縣斗六市中山路91號,雲林縣 / 斗六市,05 532 3889,4.2,125,https://www.facebook.com/RISINGCURRY/,https://goo.gl/maps/3XdFupuoTMfMz2Ab6
午後小廚房-外送.外帶專門店,640雲林縣斗六市中正路32號,雲林縣 / 斗六市,0970 601 979,4.5,33,https://www.facebook.com/afternoonkitchenette/,https://goo.gl/maps/aJRmdyepjuRfo3zK7
伊定咖哩丼飯,640雲林縣斗六市內環路367號,雲林縣 / 斗六市,05 536 1340,4.4,44,https://m.facebook.com/%E4%BC%8A%E5%AE%9A-%E5%92%96%E5%93%A9-%E4%B8%BC%E9%A3%AF-100121811889846/,https://g.page/YiDingCurry?share
拍拍聚樂部 | 日式歐風咖哩,640雲林縣斗六市內環路408號,雲林縣 / 斗六市,0911 336 838,4.8,292,https://www.facebook.com/therethere2018/,https://g.page/therethere2018?share
雙醬咖哩-斗六石榴店,640雲林縣斗六市石榴路106-7號,雲林縣 / 斗六市,0933 232 978,4.7,25,https://www.facebook.com/%E9%9B%99%E9%86%AC%E5%92%96%E5%96%B1-%E6%96%97%E5%85%AD%E7%9F%B3%E6%A6%B4%E5%BA%97-101103988439798/,https://goo.gl/maps/E9X7gLHWk122kziM9
厚咖哩,640雲林縣斗六市成功二街22號,雲林縣 / 斗六市,05 537 2002,4.6,33,https://www.facebook.com/%E5%8E%9A%E5%92%96%E5%93%A9-100768435816600/,https://goo.gl/maps/uECvf9ZLsnPh2Hv27
Amy越式咖哩專賣店,640雲林縣斗六市府文路103號,雲林縣 / 斗六市,0970 093 058,4.7,43,https://www.facebook.com/Amy-%E8%B6%8A%E5%BC%8F%E5%92%96%E5%96%B1%E5%B0%88%E8%B3%A3%E5%BA%97-100932478470422/,https://goo.gl/maps/NYybNMvZs4ozyZwA8
簡單。咖哩,640雲林縣斗六市埤口路88號B6,雲林縣 / 斗六市,0916 797 541,4.8,103,https://www.facebook.com/%E7%B0%A1%E5%96%AE%E5%92%96%E5%93%A9-507149596433463/,https://goo.gl/maps/BcMSXxgjAFiXp8bs7
參食穗咖哩 at30curry,640雲林縣斗六市愛國街178號,雲林縣 / 斗六市,05 537 7515,4.6,86,https://www.facebook.com/at30curry/,https://g.page/30curry?share
醬人,640雲林縣斗六市龍潭路5之9號1樓之3,雲林縣 / 斗六市,05 535 3131,3.9,135,https://www.facebook.com/curryjam3131/,https://goo.gl/maps/17JK6txLqwB2Yp3G6
微笑咖哩-斗六店,640雲林縣斗六市鎮北路38號,雲林縣 / 斗六市,05 537 7823,4.2,166,https://www.facebook.com/SmileCurryGourmet/,https://goo.gl/maps/FQ5hTo7RRVZJRQ3d8
蘭原亭咖哩·丼飯專賣店,648雲林縣西螺鎮建興路145號,雲林縣 / 西螺鎮,05 587 0775,5,1,https://www.facebook.com/lanyuanting/,https://goo.gl/maps/vtMUfKb9zJguURBr8
博愛壱壱円,651雲林縣北港鎮博愛路110號,雲林縣 / 北港鎮,05 783 9489,4.7,166,https://m.facebook.com/%E5%8D%9A%E6%84%9B%E5%A3%B1%E5%A3%B1%E5%86%86-2059136051034932/,https://goo.gl/maps/c4pobKczfABSk6ZA7
