name,address,region,phone,rating,rating_numbers,website,map
小巷茉莉 MÔLi Café,970花蓮縣花蓮市三民街62號,花蓮縣 / 花蓮市,03 833 3562,4.5,1012,https://www.facebook.com/molicafe2017/,https://goo.gl/maps/8Tnf56dTpDpFR2dd6
咖哩郎 CURRY MEN,970花蓮縣花蓮市大同街15-1號,花蓮縣 / 花蓮市,0977 067 396,4.7,238,https://www.facebook.com/currymanhualien/,https://goo.gl/maps/UCnpKzaGghx2S5LX8
A-one泰,970花蓮縣花蓮市大同街45號,花蓮縣 / 花蓮市,03 833 8198,4.4,419,https://www.facebook.com/aonethaiaonethai/,https://goo.gl/maps/GYdq2PRUgNRA7wU58
艾米餐飲館,970花蓮縣花蓮市大同街4巷4號,花蓮縣 / 花蓮市,03 834 2340,4.3,836,https://www.facebook.com/pages/%E8%89%BE%E7%B1%B3%E9%A4%90%E9%A3%B2%E9%A4%A8/141844189208706,https://goo.gl/maps/ffpNDaoXj6mNnFYc6
廚種王異國特色咖哩(大禹店),970花蓮縣花蓮市大禹街46號,花蓮縣 / 花蓮市,0989 608 461,5,1,https://www.facebook.com/%E5%BB%9A%E7%A8%AE%E7%8E%8B-104023705024484/,https://goo.gl/maps/JCU99eQXDGx3Rcmg9
長泰滇緬料理,970花蓮縣花蓮市中山路381號,花蓮縣 / 花蓮市,03 835 1362,4.4,345,https://www.facebook.com/%E9%95%B7%E6%B3%B0%E6%BB%87%E7%BC%85%E6%96%99%E7%90%86-1508112639239881/,https://goo.gl/maps/kzaJP6177KvV1wKJ9
家咖哩總店,970花蓮縣花蓮市中美路106號,花蓮縣 / 花蓮市,03 834 3290,4.2,4461,http://www.jiacurry.com/,https://goo.gl/maps/72cxmZXwycxFYHhdA
勝澤家日式丼飯、咖喱專賣店（花蓮美崙店）,970花蓮縣花蓮市中美路230號,花蓮縣 / 花蓮市,03 824 6884,4.6,14,https://m.facebook.com/pages/category/Donburi-Restaurant/%E5%8B%9D%E6%BE%A4%E5%AE%B6%E6%97%A5%E5%BC%8F%E4%B8%BC%E9%A3%AF%E5%92%96%E5%96%B1%E5%B0%88%E8%B3%A3%E5%BA%97-%E8%8A%B1%E8%93%AE%E7%BE%8E%E5%B4%99%E5%BA%97-101960592075801/,https://goo.gl/maps/mqVjbGqhvbDGAwQKA
樂咖哩,970花蓮縣花蓮市中原路610號,花蓮縣 / 花蓮市,03 835 8625,4.1,1005,https://m.facebook.com/LivingCurry/?locale2=zh_TW,https://goo.gl/maps/CoPdu8hM7RvwUvqh7
小螞蟻咖哩,970花蓮縣花蓮市仁愛街71-1號970號,花蓮縣 / 花蓮市,0905 062 194,3.9,154,https://m.facebook.com/littleantcurryhouse/,https://goo.gl/maps/Tqo7xnxLSm8wwg5CA
