name,address,region,phone,rating,rating_numbers,website,map
Tanya’s 泰食餐桌 Thai Food Table,950台東縣台東市中華路一段376巷48號,台東縣 / 台東市,0905 277 308,4.6,175,https://www.facebook.com/TTFT.Taiwan/,https://goo.gl/maps/VKzTWKBEkMUjGWJK7
九州拉麵,950台東縣台東市中華路一段382號,台東縣 / 台東市,08 934 1526,3.9,229,Nah,https://goo.gl/maps/K29B6Qx92wAP9Lye9
職人雙饗丼台東鐵花店,950台東縣台東市中華路一段589號,台東縣 / 台東市,08 932 0900,4.4,415,https://www.facebook.com/%E8%81%B7%E4%BA%BA%E9%9B%99%E9%A5%97%E4%B8%BC%E5%8F%B0%E6%9D%B1%E5%BA%97-2018988034891388/,https://goo.gl/maps/JAtvi8fUbaUZFSkx9
夏安居草食堂,950台東縣台東市中興路一段147號,台東縣 / 台東市,08 922 2646,4.5,563,https://m.facebook.com/summerd147,https://g.page/summerd147?share
小玉餐館,950台東縣台東市中興路四段763巷17號,台東縣 / 台東市,08 938 0667,4.3,351,https://www.facebook.com/%E5%B0%8F%E7%8E%89%E9%A4%90%E9%A4%A8-1276224525727955/,https://goo.gl/maps/DxZfjKT8FPkHhKLk8
愛瓦Brunch,950台東縣台東市四維路三段118號,台東縣 / 台東市,08 923 2170,4.6,344,https://ew20170603-brunchrestaurant.business.site/,https://g.page/EWBRUNCH?share
Montes蒙帝斯異國餐廳,950台東縣台東市四維路三段138號,台東縣 / 台東市,08 923 7123,4.3,336,https://www.facebook.com/Montes-%E8%92%99%E5%B8%9D%E6%96%AF%E7%95%B0%E5%9C%8B%E9%A4%90%E9%A4%A8-148565449127590/,https://goo.gl/maps/sbfUFPkLdBUPHqnZA
天之御草食 台東平等店,950台東縣台東市平等街35號,台東縣 / 台東市,0909 535 087,4.4,199,https://www.facebook.com/%E5%A4%A9%E4%B9%8B%E5%BE%A1%E8%8D%89%E9%A3%9F-%E5%8F%B0%E6%9D%B1%E5%B9%B3%E7%AD%89%E5%BA%97-119148772106293/,https://goo.gl/maps/9yK84E7SwN4BhFWJ9
彩色果泡沫紅茶,950台東縣台東市正氣北路146號,台東縣 / 台東市,08 933 6267,4.6,486,https://www.facebook.com/%E5%BD%A9%E8%89%B2%E6%9E%9C%E6%B3%A1%E6%B2%AB%E7%B4%85%E8%8C%B6-236237529745971/,https://goo.gl/maps/jUoCSiAMn2hr7dtEA
五國真湯（台東店）,950台東縣台東市正氣北路197號,台東縣 / 台東市,08 933 7777,4.7,106,https://www.facebook.com/%E4%BA%94%E5%9C%8B%E7%9C%9F%E6%B9%AF-104669797847408/,https://goo.gl/maps/5B4CL7tCjzmLFa5T7
柴米DailyKitchen,950台東縣台東市正氣北路215巷35弄15號,台東縣 / 台東市,08 934 3608,4.5,223,https://facebook.com/DailyKitchen.TAITUNG/,https://goo.gl/maps/7wdhP3UBbfL4R2Cq6
王子豬排,950台東縣台東市正氣路120號,台東縣 / 台東市,08 935 3000,4.3,1195,https://www.facebook.com/prince0981753000,https://goo.gl/maps/8eRpRF6o1RD9TWHt7
蔬念Vegine,950台東縣台東市正氣路312巷12號,台東縣 / 台東市,08 933 0218,4.6,240,https://www.facebook.com/pg/%E8%94%AC%E5%BF%B5-Vegine-623031328039527/about/?ref=page_internal,https://goo.gl/maps/qWxoNnuNGCRgKvrZA
東南亞料理,950台東縣台東市光明路48號,台東縣 / 台東市,0936 787 983,4.5,60,https://www.facebook.com/cuisine466/,https://goo.gl/maps/1jiqJwVWY79oxUFT7
鐵花小路美食堂,950台東縣台東市安慶街147號,台東縣 / 台東市,08 934 6320,4.5,814,https://www.facebook.com/%E9%90%B5%E8%8A%B1%E5%B0%8F%E8%B7%AF-414628465260564/,https://goo.gl/maps/u9Pg9daVNCgxyBF97
香郁素食,950台東縣台東市更生北路36號,台東縣 / 台東市,08 923 8079,4.6,181,https://www.facebook.com/%E9%A6%99%E9%83%81%E7%B4%A0%E9%A3%9F-1816277221772634/,https://goo.gl/maps/Bm6knh63GWe8E14H7
Community Cafe' 墾墨咖啡,950台東縣台東市更生路1208號,台東縣 / 台東市,08 922 7998,4.5,792,https://www.facebook.com/communitytaitung/,https://goo.gl/maps/TcRJnPZ2F1mW3HU69
