name,address,region,phone,rating,rating_numbers,website,map
雙醬咖哩(金山店),300新竹市東區金山8街140號,新竹市 / 東區,03 666 1966,3.9,254,https://www.nicenine99.com/,https://goo.gl/maps/rvPjwGxXUrXSqk2U7
尚夯咖哩,30043新竹市東區民權路29號,新竹市 / 東區,03 543 0018,4.2,47,https://www.facebook.com/profile.php?id=100064194930021,https://goo.gl/maps/rvPjwGxXUrXSqk2U7
有哩在 Uilly Curry,300新竹市北區北門街119號,新竹市 / 北區,03 525 0277,4.3,187,https://www.facebook.com/%E6%9C%89%E5%93%A9%E5%9C%A8Uilly-Curry-107959061006592/reviews/?ref=page_internal,https://g.page/uillycurry?share
台灣雙醬咖哩（新竹北門店）,300新竹市北區北門街79號,新竹市 / 北區,03 528 0682,3.3,81,https://www.facebook.com/704ctmhi/,https://goo.gl/maps/uJY9mQHPnFf1uPfJA
將淋,300新竹市北區西門街78號,新竹市 / 北區,03 527 7907,4.9,213,https://shop.ichefpos.com/store/FaUfE6gO,https://goo.gl/maps/1SCUpsHTQcx3vrd86
叻咖哩,300新竹市北區城北街40號1樓,新竹市 / 北區,03 526 7591,4.8,24,https://www.facebook.com/funkarimalaycuisine/,https://goo.gl/maps/JiBFoPexV9dVDyeA6
鶴之屋拉麵咖喱飯,300新竹市北區湳雅街186-3號,新竹市 / 北區,03 531 5226,3.8,155,https://fish-house5315226.business.site/?utm_source=gmb&utm_medium=referral,https://g.page/fish-house5315226?share
魔法咖哩-新竹大魯閣店,300新竹市北區湳雅街91-2號2樓,新竹市 / 北區,03 533 7100,4,381,http://www.magiccurry.com.tw/,https://goo.gl/maps/cQ9cgBkEEPVoTPU39
「Mr.咖哩」新竹湳雅店,300新竹市北區湳雅街91號300 2號b1,新竹市 / 北區,03 542 5017,4.3,285,https://www.facebook.com/Mr%E5%92%96%E5%93%A9%E5%A4%A7%E9%AD%AF%E9%96%A3%E6%B9%B3%E9%9B%85%E5%BB%A3%E5%A0%B4-100768595347813/,https://goo.gl/maps/v3HF5aNV9GWGaxNg8
CURRY WU新竹旗艦店_餐廳 日式料理 咖哩 豬排,300新竹市北區興南街28號1樓,新竹市 / 北區,03 521 2188,4.9,214,https://www.facebook.com/pages/category/Tonkatsu-Restaurant/CURRY-Wu%E6%96%B0%E7%AB%B9%E6%97%97%E8%89%A6%E5%BA%97-102627061844523/,https://g.page/CURRYWU?share
