name,address,region,phone,rating,rating_numbers,website,map
基隆廟口咖哩飯,200基隆市仁愛區仁三路46號,基隆市 / 仁愛區,02 2428 5299,2.8,78,Nah,https://goo.gl/maps/LWWPzTCKdHEPAPzT7
一燔食事,200基隆市仁愛區仁五路59號,基隆市 / 仁愛區,02 2428 5299,4,422,https://www.facebook.com/loveBlackpork,https://goo.gl/maps/shFHFpCHF3qNwvxPA
坂道咖哩,200基隆市仁愛區仁四路19巷3號,基隆市 / 仁愛區,02 2428 0609,4.3,205,https://www.facebook.com/%E5%9D%82%E9%81%93%E5%92%96%E5%93%A9-694012414378421/,https://goo.gl/maps/CMZXmpVduivmaGSj7
鐵字咖喱，仁愛市場店,200基隆市仁愛區愛三路21號2號樓，A3,基隆市 / 仁愛區,0923 260 070,4.6,38,Nah,https://goo.gl/maps/YjbKtETsypWDo2r77
厚師傅咖哩飯,201基隆市信義區東信路83號,基隆市 / 信義區,0910 090 526,4.7,12,Nah,https://goo.gl/maps/6CGsV326fsbvLwor5
Gali 咖哩,201基隆市信義區義三路12巷27號一樓,基隆市 / 信義區,02 2425 1004,4.6,271,https://www.facebook.com/Gali-%E5%92%96%E5%93%A9-584276302028693/,https://goo.gl/maps/oNxMyH7D25upDiqP7
圖們咖啡 tuman café,202基隆市中正區中正路551號,基隆市 / 中正區,02 2462 8727,4.1,598,https://www.facebook.com/tumankeelung/,https://g.page/tumancafe?share
真愛咖喱,202基隆市中正區信三路25號,基隆市 / 中正區,0919 336 586,4.5,195,https://www.facebook.com/%E7%9C%9F%E6%84%9B%E5%92%96%E5%93%A9-Moiz-Ali-107984303099795/,https://goo.gl/maps/sSAob1wvaDNH1r497
百餃咖喱,202基隆市中正區祥豐街119號,基隆市 / 中正區,0921 427 546,3.9,88,https://www.facebook.com/pages/%E7%99%BE%E9%A4%83%E5%92%96%E5%96%B1%E8%A4%87%E5%90%88%E5%BC%8F%E9%A4%90%E9%A3%B2/108120324109969,https://goo.gl/maps/6yCLRYsmt2iZGXKj7
鼎咖哩,202基隆市中正區祥豐街315號,基隆市 / 中正區,0906 800 017,4.8,110,https://www.facebook.com/dinggali315,https://goo.gl/maps/6UaAU6Zm2eNFj9nXA
阿祿咖哩沙茶專賣店,203基隆市中山區復旦路11號,基隆市 / 中山區,02 2427 0685,4.2,322,https://www.facebook.com/ALu.Curry/,https://goo.gl/maps/JXMgZaV7A3BNonJC9
基隆雙醬咖哩 大武崙店,204基隆市安樂區基金一路135巷33號,基隆市 / 安樂區,0986 606 865,4.5,61,https://www.facebook.com/%E9%9B%99%E9%86%AC%E5%92%96%E5%93%A9-%E5%A4%A7%E6%AD%A6%E5%B4%99%E5%BA%97-108476437326673,https://g.page/goodtasty?share
