name,address,region,phone,rating,rating_numbers,website,map
咖哩小屋,22067新北市板橋區中山路二段87號,新北市 / 板橋區,02 2952 5956,4.3,656,https://www.facebook.com/%E5%92%96%E5%93%A9%E5%B0%8F%E5%B1%8B%E6%9D%BF%E6%A9%8B-1502844350040608/?fref=ts,https://goo.gl/maps/8k2ksPk4hyqjEhwU8
C.C. Curry(原哇！咖喱）,220新北市板橋區三民路二段183號1樓,新北市 / 板橋區,02 2954 3888,4.4,821,Nah,https://goo.gl/maps/6PPwUQBfw2ezKGmZ6
涎 咖哩.洋食 Bouche Curry & Yoshoku,220新北市板橋區民權路202巷2弄2號,新北市 / 板橋區,02 2966 0046,4.4,327,https://facebook.com/%E6%B6%8E-%E5%92%96%E5%93%A9%E6%B4%8B%E9%A3%9F-Bouche-Curry-Yoshoku-249732882106594/,https://goo.gl/maps/475AFwpVaoBGSvbu5
當樂咖啡,220新北市板橋區光正街40號,新北市 / 板橋區,02 2968 0705,4.3,1097,https://www.facebook.com/download.cafe/,https://goo.gl/maps/3KPNQgjE6t8CV8D58
旧宅在 Near Home Cafe,220新北市板橋區松江街72巷2號,新北市 / 板橋區,02 8258 1386,4.6,3441,https://www.instagram.com/nearhome_72/,https://g.page/nearhome72?share
我其實不想上班,220新北市板橋區長安街275號,新北市 / 板橋區,0975 256 153,4.2,623,https://www.facebook.com/gotofukingjob/,https://g.page/gotofukingjob?share
食指大丼 板橋國光店,220新北市板橋區國光路168號1樓,新北市 / 板橋區,02 2969 0257,4,457,https://www.facebook.com/%E9%A3%9F%E6%8C%87%E5%A4%A7%E4%B8%BC-1556628501221391/,https://goo.gl/maps/YnMPCtUU1bcirLix8
一京咖哩,220新北市板橋區陽明街109號,新北市 / 板橋區,02 2258 8355,4.6,496,https://www.facebook.com/%E4%B8%80%E4%BA%AC%E5%92%96%E5%93%A9-360149488125654/,https://goo.gl/maps/LR3rbFfwNpozLDqH9
宿舍 Room 166,220新北市板橋區館前西路166號,新北市 / 板橋區,0908 308 113,4.7,171,https://www.facebook.com/%E5%AE%BF%E8%88%8D-room-166-607315066590373/,https://g.page/room166?share
十三號咖哩 - 板橋江翠日式風格簡餐︱聚會︱包場︱美食推薦,220新北市板橋區雙十路三段10巷13號,新北市 / 板橋區,0920 803 002,4.4,143,https://page.line.me/094ugbfq,https://goo.gl/maps/J33oi5UJs8rs7yn39
謝謝 DOUMO,234新北市永和區水源街25號,新北市 / 永和區,02 2926 5505,4.7,581,https://www.facebook.com/DOUMO.TW,https://goo.gl/maps/vKMpoiH8xxmm6KZi8
森氏咖啡所,234新北市永和區水源街39巷26號,新北市 / 永和區,02 2921 8185,4.4,663,https://www.facebook.com/sensemumumu/?notif_t=page_fan&notif_id=1496199254849383,https://goo.gl/maps/Aj2jhXoaYqN4Ad9P9
OUR Coffee 奧爾咖啡,234新北市永和區信義路25巷3號1樓,新北市 / 永和區,02 8660 5867,4.6,264,http://www.facebook.com/OUR.Cafe.yonghe,https://g.page/OUR-Cafe-yonghe?share
品咖哩。,235新北市中和區中和路262巷24弄12號1樓,新北市 / 中和區,02 8923 0398,4.2,776,https://www.facebook.com/PinCurry/?ref=bookmarks,https://g.page/PinCurry?share
圖書館對面 Duimin cafe & deli,235新北市中和區中和路400巷14弄2號,新北市 / 中和區,02 2923 0089,3.9,1573,https://www.facebook.com/Duimincafedeli/,https://goo.gl/maps/zWS4obQTchgFJHRR6
Nice Nine雙醬咖哩,235新北市中和區新生街116巷2號,新北市 / 中和區,02 8228 1009,4.3,291,https://www.facebook.com/%E9%9B%99%E9%86%AC%E5%92%96%E5%93%A9-%E4%B8%AD%E5%92%8C%E7%B8%BD%E5%BA%97-283468682116116/,https://goo.gl/maps/Nv45Cd1E8XPq5ous7
咖哩屋カレー,238新北市樹林區學勤路699號,新北市 / 樹林區,02 2672 2997,4.4,69,https://www.facebook.com/%E5%92%96%E5%93%A9%E3%82%AB%E3%83%AC%E3%83%BC-101448154618276,https://goo.gl/maps/Db8XkLWNbbEzwYY58
雙醬咖哩三重正義店,241新北市三重區正義北路28巷2號,新北市 / 三重區,02 2988 3365,4.6,376,https://www.facebook.com/nicenicesanchong/,https://goo.gl/maps/P8eeaXwCXc6XeSff6
雙爸食堂,241新北市三重區重新路一段58號2樓,新北市 / 三重區,0983 170 858,4.6,194,https://www.facebook.com/chefpaaa/,https://goo.gl/maps/beUBaFuQAdbKYiiL6
橘咖哩,241新北市三重區富華街126號,新北市 / 三重區,0968 528 582,4.9,7,https://www.facebook.com/%E6%A9%98%E5%92%96%E5%93%A9-105115898341582/,https://goo.gl/maps/WPMtErnJJs54ii3U7
愛咖哩,242新北市新莊區中和街186巷2弄1號,新北市 / 新莊區,02 2998 0508,4.3,124,https://www.facebook.com/%E6%84%9B%E5%92%96%E5%93%A9%E4%B8%AD%E5%92%8C%E5%BA%97-552922011839705/,https://goo.gl/maps/tygqvnr5SYhwxfNt5
喜歡咖哩 Love Curry,242新北市新莊區中港路269號,新北市 / 新莊區,02 2992 7676,4.4,656,https://www.facebook.com/Lovecurry0606/,https://goo.gl/maps/C3x2ypFjYBPUT3JH7
咖哩Curry,242新北市新莊區幸福路671巷1弄1號,新北市 / 新莊區,02 8994 4952,4,310,https://m.facebook.com/pages/biz/%E5%92%96%E5%93%A9curry-105797532828683/?locale2=zh_TW,https://goo.gl/maps/TX5x9qdr36TtA8388
CoCo壹番屋 新莊佳瑪店,242新北市新莊區幸福路736號,新北市 / 新莊區,02 2993 5728,4,316,https://www.ichibanya.com.tw/,https://goo.gl/maps/dbAx81XPvKCY48eq9
可樂屋,242新北市新莊區新豐街8之1號,新北市 / 新莊區,02 2205 5701,4.2,99,Nah,https://goo.gl/maps/dH4gJR8JrgHnW6PN9
CoCo壹番屋 蘆洲徐匯店,247新北市蘆洲區中山一路8號4樓,新北市 / 蘆洲區,02 8281 2604,3.9,490,http://www.ichibanya.com.tw/,https://goo.gl/maps/K1AJbAW7XtnhnYVP8
是熊,249新北市八里區龍米路二段179號,新北市 / 八里區,Nah,5,75,https://www.facebook.com/bearyes/,https://goo.gl/maps/VrNaRTHFaUQAAiM67
slice of bread muchi 暮起咖啡,25172新北市淡水區新市二路一段86號1樓,新北市 / 淡水區,0963 523 132,4.9,46,https://instagram.com/sliceofbreadmuchi,https://goo.gl/maps/WtrVBVa2GkcZdfWk9
