name,address,region,phone,rating,rating_numbers,website,map
溫咖哩 Wen Curry,100023台北市中正區濟南路二段3之8號,台北市 / 中正區,02 2327 8338,4.8,2639,https://www.facebook.com/%E6%B8%A9%E5%92%96%E5%93%A9-Wen-Curry-103271448666105,https://g.page/wen_curry?share
爺兒咖哩,100台北市中正區汀州路二段146號,台北市 / 中正區,02 2365 9300,4.2,542,http://www.facebook.com/earcurry,https://g.page/earcurry?share
明星咖啡館,100台北市中正區武昌街一段5號,台北市 / 中正區,02 2381 5589,4.1,2800,http://www.astoria.com.tw/,https://goo.gl/maps/qB1pwGEtnRUWGiSD6
京町8号,100台北市中正區博愛路8號,台北市 / 中正區,02 2381 2388,4.4,323,https://www.facebook.com/KyomachiNo8/,https://goo.gl/maps/eAWJmhEkBEYB2knG9
Ebisu Curry,100台北市中正區寧波西街78號,台北市 / 中正區,0937 638 027,4.2,1099,https://www.facebook.com/Ebisu-%E5%92%96%E5%93%A9-320415814707576/,https://goo.gl/maps/XZERHibjsF9i5wyw8
Scooping 咖啡 咖哩,100台北市中正區羅斯福路一段9巷9號,台北市 / 中正區,02 2358 1871,3.6,136,https://m.facebook.com/scoopingcafe/?locale2=zh_TW,https://goo.gl/maps/biaHVwTy5AULwAVn7
U & me find coffee,100台北市中正區羅斯福路二段66巷8號1樓,台北市 / 中正區,02 2356 8633,4.2,560,https://www.mplusapp.com/gmb/UandmeZhaoka/,https://goo.gl/maps/2hPvsNvWUFR1qYWt9
羅本家咖哩,10351台北市大同區長安西路138巷3弄2號,台北市 / 大同區,0902 198 712,4.5,1146,https://www.facebook.com/robbencurry/,https://goo.gl/maps/HbME3mQbe9xKNh4c7
大象吃咖哩,103台北市大同區民族西路47號,台北市 / 大同區,02 2599 5595,4.8,217,https://restaurant-86715.business.site/,https://goo.gl/maps/kmv98vKqx99sjk9MA
咖哩樹 currytree 台北京站店,103台北市大同區承德路一段1號號B3,台北市 / 大同區,02 7729 0799,4.2,152,https://www.facebook.com/currytree.tw/,https://goo.gl/maps/LCHQbS3DiJ2Cj9XH9
快樂村咖哩屋,103台北市大同區承德路三段196號,台北市 / 大同區,02 2595 6177,4.4,179,https://www.facebook.com/HappyCurryHouse,https://goo.gl/maps/56vuFiDKxY84PuBN9
61 note,103台北市大同區南京西路64巷10弄6號,台北市 / 大同區,02 2550 5950,4.1,365,http://www.61note.com.tw/,https://goo.gl/maps/WtaNCo2Po9sd5XTm9
幻猻家珈琲 Pallas Cafe,103台北市大同區迪化街一段14巷14號,台北市 / 大同區,02 2555 6680,4.5,1009,https://pallascafe.easy.co/,https://g.page/PallasCafe2017?share
閣樓哩Glorious Cafe,103台北市大同區歸綏街157號,台北市 / 大同區,02 2557 1187,4.9,71,https://fb.me/Glorious157,https://goo.gl/maps/MCtn2nnoBbN9c5838
和太咖哩屋,103台北市大同區蘭州街107號,台北市 / 大同區,02 2592 1969,3.8,141,http://magic971125.pixnet.net/blog/post/295741258,https://goo.gl/maps/MkNiHuj3onhC9U2H6
和風咖哩,10453台北市中山區雙城街10巷21號,台北市 / 中山區,02 2598 1282,4.2,387,https://www.facebook.com/%E6%99%B4%E5%85%89%E5%92%8C%E9%A2%A8%E5%92%96%E5%93%A9-102377478240784,https://goo.gl/maps/H2bSWFhmA5jg6dmm9
泰迪農園咖哩－一江店,10456台北市中山區一江街15 號1樓,台北市 / 中山區,02 2521 5115,4.4,315,https://www.facebook.com/TEDDYFARMCURRY/?modal=admin_todo_tour,https://goo.gl/maps/LZdceiY4agm9EMV77
稲町家香料咖哩 (南西二號舖) ,10491台北市中山區中山北路一段140巷17號,台北市 / 中山區,02 2562 6050,4.3,312,https://shop.ichefpos.com/store/djQpEpws,https://g.page/daodinjia?share
稲町家香料咖哩 中山本舖,10491台北市中山區中山北路二段42巷20號,台北市 / 中山區,02 2562 2050,4.2,1343,https://www.facebook.com/daodinjia,https://g.page/daodinjiacurry?share
通庵 熟成咖哩 （中山店）,10491台北市中山區中山北路二段77巷3號,台北市 / 中山區,Nah,4.6,387,https://www.facebook.com/tongan.curry/,https://goo.gl/maps/cJMWZu5LNZGfgCYE6
倆男咖啡室,10491台北市中山區松江路204巷33號1F,台北市 / 中山區,02 2563 0723,4.5,673,https://www.facebook.com/%E5%80%86%E7%94%B7%E9%A3%9F%E6%89%80-TWO-MAN-Daily-109996690346791/?modal=admin_todo_tour,https://goo.gl/maps/V9ALrscLEK7uV6F79
Tokyo Curry&Bar 東京咖哩林森店,10491台北市中山區林森北路96-4號,台北市 / 中山區,02 2563 9852,4.3,737,https://www.facebook.com/Tokyo-Curry-Bar%E6%9D%B1%E4%BA%AC%E5%92%96%E5%93%A9-%E6%9E%97%E6%A3%AE%E5%BA%97-539387819588268,https://goo.gl/maps/spFg9Bfnn7gx2fCB7
Curry King 咖哩王,10491台北市中山區長安東路二段169-14號,台北市 / 中山區,02 2711 2659,4.1,903,https://www.facebook.com/pages/%E5%92%96%E5%93%A9%E7%8E%8B/616306211745992,https://goo.gl/maps/ZU2DgfZoEH4oNvpu5
日向海軍咖哩,10491台北市中山區雙城街15-5號,台北市 / 中山區,0935 790 652,4.5,808,http://www.facebook.com/HyuugaNavyCurry/,https://goo.gl/maps/tKNxsBQqx184xtmx8
C Major Curry Bar,10491台北市中山區雙城街46巷21號,台北市 / 中山區,02 2591 9837,4.6,489,https://www.facebook.com/cmajorcurrybar/,https://g.page/cmajorcurrybar?share
ハハ珈琲店,10491台北市中山區雙城街47號,台北市 / 中山區,02 2595 3122,4.5,595,https://www.facebook.com/cafehahatw/,https://goo.gl/maps/2pwug7m6m5Xh3iwe8
銀兔湯咖喱中山店,104台北市中山區中山北路一段140巷23號,台北市 / 中山區,02 2100 2555,4.4,2108,https://www.facebook.com/ginto.zhongshan/,https://g.page/Ginto?share
澳氏咖啡,104台北市中山區中山北路二段115巷33號,台北市 / 中山區,02 2521 9192,4.5,896,http://www.aussie-cafe.com.tw/,https://g.page/aussiecafe-tw-coffee?share
嘎哩咖啡 ｜ GaliGabi,104台北市中山區中山北路二段96巷29號,台北市 / 中山區,02 2521 8765,4.1,547,http://www.facebook.com/GaliGabiTW,https://g.page/GaliGabi?share
椿 珈琲,104台北市中山區民權東路一段七十巷十號,台北市 / 中山區,02 2536 5818,4.4,161,https://www.facebook.com/%E6%A4%BF-%E7%8F%88%E7%90%B2-338635966800794/,https://goo.gl/maps/6b2Zbs7AJjypBYQD8
十巷咖哩,104台北市中山區雙城街10巷25-1號,台北市 / 中山區,0970 218 755,4.4,4607,https://www.facebook.com/10lanecurry/,https://goo.gl/maps/jUQt9suqby63J7sS7
