name,address,region,phone,rating,rating_numbers,website,map
咖哩樹 currytree 桃園A19店,32050桃園市中壢區高鐵南路二段352號3樓,桃園市 / 中壢區,03 287 6067,4.5,6,https://www.currytree.com.tw/,https://goo.gl/maps/oVo3yoCwuqVbExB5A
吉村豬排咖哩,32065桃園市中壢區元生三街188號,桃園市 / 中壢區,03 462 5856,4.4,203,https://www.facebook.com/pg/%E5%90%89%E6%9D%91%E8%B1%AC%E6%8E%92%E5%92%96%E5%93%A9-2222912371282030/about/?ref=page_internal,https://goo.gl/maps/C7GShsxcxRGEuP898
嘎哩咖哩/咖哩飯專賣/丼飯/炸雞肉咖哩,32069桃園市中壢區福州二街426號,桃園市 / 中壢區,0917 733 165,4.5,20,https://www.facebook.com/currygreat,https://goo.gl/maps/xu9SXdWhVXGXnAxU8
壹號咖哩咖啡,32088桃園市中壢區廈門街一號1樓,桃園市 / 中壢區,03 428 5665,3.3,3,https://restaurant-108983.business.site/?utm_source=gmb&utm_medium=referral,https://goo.gl/maps/b2f5pVzpRPStkBXCA
樂野和風洋食屋,320桃園市中壢區大仁五街31號,桃園市 / 中壢區,03 438 3788,4.6,93,https://www.facebook.com/profile.php?id=100054537455743,https://goo.gl/maps/2jrSMuPUcfd2i6KZ9
大同町 _ 中壢平價美食推薦，牛丼，豬排咖哩飯，炸雞丼飯，自助飲料吧無限享用，超高CP值,320桃園市中壢區大同路70號,桃園市 / 中壢區,03 422 4695,4.2,773,https://www.facebook.com/%E5%A4%A7%E5%90%8C%E7%94%BA-%E5%B9%B3%E5%83%B9%E6%97%A5%E5%BC%8F%E8%B1%AC%E6%8E%92%E7%82%B8%E9%9B%9E%E5%A1%8A%E4%B8%BC%E9%A3%AF-%E5%B0%88%E8%B3%A3-2019007434995879/,https://goo.gl/maps/bnAk3WsFynLgciaJA
CoCo Ichibanya,320桃園市中壢區中正路51號,桃園市 / 中壢區,03 427 9170,3.9,494,http://www.ichibanya.com.tw/,https://goo.gl/maps/zU5r1U8P8idjvjcHA
咖哩老師,320桃園市中壢區五興路390號,桃園市 / 中壢區,0916 811 748,4.4,101,Nah,https://goo.gl/maps/KtfjNKN4BirK9g679
Poffee Canteen,320桃園市中壢區元化路125巷32號,桃園市 / 中壢區,Nah,4.4,251,https://www.facebook.com/poffeecanteen,https://goo.gl/maps/fDaGW6WbKLGSfYyW8
雙醬咖哩 過嶺店,320桃園市中壢區民族路五段332號,桃園市 / 中壢區,03 420 1609,4.3,38,https://www.nicenine99.com/,https://goo.gl/maps/fGJd5rqWJC4eFRfN7
LuS Food Lab 陸氏食研所 | 咖哩飯 | 下午茶 | 手作甜點 | 青埔咖啡店,320桃園市中壢區永能路5號,桃園市 / 中壢區,03 280 6300,4.7,121,https://www.facebook.com/LuSFoodLab,https://goo.gl/maps/ZRhSB1PogSRcDcSu9
祖厝咖啡,320桃園市中壢區吉安街21號,桃園市 / 中壢區,03 284 1785,4.6,242,https://www.facebook.com/GUGUCOFFEE/,https://goo.gl/maps/qQqWPACCyCueGsLZ7
瘋咖哩,320桃園市中壢區成章一街103號,桃園市 / 中壢區,03 463 2473,3.5,37,Nah,https://g.page/fullcurry-nanyang?share
咖哩操人,320桃園市中壢區吳鳳二街17號,桃園市 / 中壢區,03 468 2628,4.4,7,https://www.facebook.com/%E5%92%96%E5%93%A9%E6%93%8D%E4%BA%BA-103423085406841/,https://goo.gl/maps/uyGqzyghXoHZeMQK6
添飯Woo,320桃園市中壢區富裕街56號,桃園市 / 中壢區,03 435 9736,4.4,274,https://m.facebook.com/TeinFanWoo,https://g.page/teinfanwoo?share
雙醬咖哩中壢旗艦店,320桃園市中壢區新生路134號1樓,桃園市 / 中壢區,03 427 2767,4.3,124,https://www.facebook.com/pages/category/Diner/%E9%9B%99%E9%86%AC%E5%92%96%E5%93%A9%E4%B8%AD%E5%A3%A2%E6%97%97%E8%89%A6%E5%BA%97-101548778731582/,https://goo.gl/maps/FK7TFoqUxdT9vYsA6
