name,address,region,phone,rating,rating_numbers,website,map
龍8咖喱,26048宜蘭縣宜蘭市農權路二段30-2號,宜蘭縣 / 宜蘭市,03 935 1619,3.8,30,https://www.facebook.com/Dragon8curry,https://g.page/Dragon8curry?share
CoCo壹番屋 宜蘭新月店,26049宜蘭縣宜蘭市民權路二段38巷6號4樓,宜蘭縣 / 宜蘭市,03 932 8594,4.3,278,https://www.ichibanya.com.tw/web/index/index.jsp,https://goo.gl/maps/S8R9Y81L5jisJWgs7
蘭波,260宜蘭縣宜蘭市女中路二段185號,宜蘭縣 / 宜蘭市,03 935 8516,4.3,1393,https://www.facebook.com/Lanpo1985,https://goo.gl/maps/w8jkFz3NKuPkRKJJ8
藍河,260宜蘭縣宜蘭市中山路五段12號,宜蘭縣 / 宜蘭市,0939 366 946,4.9,11,https://www.facebook.com/BlueRiverYilan/,https://goo.gl/maps/cETWEDEKyyBPigh88
咖厘喱,260宜蘭縣宜蘭市中山路五段221號,宜蘭縣 / 宜蘭市,03 928 5027,4.8,11,https://www.facebook.com/%E5%92%96%E5%8E%98%E5%96%B1-277828354073834,https://goo.gl/maps/LoG6LpPbD6uerwqi7
馬桂爺爺 咖哩專賣店 [店內用餐建議先至臉書粉專以私訊預訂],260宜蘭縣宜蘭市中華路41巷3號,宜蘭縣 / 宜蘭市,NAH,4.2,781,https://m.facebook.com/MQGrandpapa,https://goo.gl/maps/rTwzrCxfncp6cq2D7
小築向原-家庭日式咖哩,260宜蘭縣宜蘭市民族路588號,宜蘭縣 / 宜蘭市,0976 898 338,4.6,37,https://m.facebook.com/DreamJapanCurry/.,https://goo.gl/maps/9jn1d5TJj5uo5F1m9
米柑喫茶-宜蘭日式餐廳|特色餐廳|家庭料理|午餐首選|人氣美食|必吃咖哩飯,260宜蘭縣宜蘭市民權路二段112號,宜蘭縣 / 宜蘭市,03 931 2987,4.5,238,https://m.facebook.com/migan1101/,https://goo.gl/maps/QxR338MakZM6LWoL6
佐藤咖哩 宜蘭店,260宜蘭縣宜蘭市國榮路5號,宜蘭縣 / 宜蘭市,03 936 0678,4.6,413,https://www.facebook.com/satocurryyilan/,https://goo.gl/maps/oUn9rhCL7LwHyTEy5
哇咖吚哩-咖哩製造所,260宜蘭縣宜蘭市復興路一段121巷16號,宜蘭縣 / 宜蘭市,NAH,4.9,167,https://instagram.com/wakayili/,https://goo.gl/maps/snSV5ah1pwa9CA3ZA
雙醬咖哩宜蘭店,260宜蘭縣宜蘭市新興路116號,宜蘭縣 / 宜蘭市,03 935 3891,4.4,164,https://www.nicenine99.com/,https://goo.gl/maps/PShPYjT5PgDBWHGv9
貳拾參巷 咖哩食堂,260宜蘭縣宜蘭市慶和街23巷1號,宜蘭縣 / 宜蘭市,03 932 7319,4.8,171,https://www.facebook.com/23currydiner/?ref=pages_you_manage,https://goo.gl/maps/c8RWWqp9KXpdXQiy6
迎食流咖哩礁溪溫泉店,262宜蘭縣礁溪鄉溫泉路23號,宜蘭縣 / 礁溪鄉,03 988 8028,4,87,https://www.facebook.com/%E8%BF%8E%E9%A3%9F%E6%B5%81%E5%92%96%E5%93%A9%E7%A4%81%E6%BA%AA%E6%BA%AB%E6%B3%89%E5%BA%97-112212890601239/,https://goo.gl/maps/kYGTCGf8eiPbHW8y6
丸燒丼飯咖哩弁当,265宜蘭縣羅東鎮中正南路64號,宜蘭縣 / 羅東鎮,NAH,3.6,218,https://www.facebook.com/maruyaki001/,https://goo.gl/maps/BX4DaCnG7QfLdtSC6
羅東幸福咖哩,265宜蘭縣羅東鎮中興路1號,宜蘭縣 / 羅東鎮,03 956 0908,4.2,239,https://m.facebook.com/371415006288431/,https://goo.gl/maps/Yj77hCTgXetPZRE57
香料國境宜蘭 Spiceland Yilan,265宜蘭縣羅東鎮四育路83號,宜蘭縣 / 羅東鎮,03 961 0086,4.7,88,https://www.facebook.com/pg/JjSpiceland/reviews/?ref=page_internal,https://goo.gl/maps/yMufa4axLGHo1KDi7
美大叔 / uncle made - 香料熟成咖哩,265宜蘭縣羅東鎮民族路36號1樓,宜蘭縣 / 羅東鎮,03 950 9417,4.6,208,https://www.facebook.com/unclemade2020/,https://goo.gl/maps/vUp4MM4pfPPEaU8Q6
蘇嘻餐飲/Curry&Cafe,270宜蘭縣蘇澳鎮中山路一段105號,宜蘭縣 / 蘇澳鎮,03 996 6889,4.3,84,https://www.facebook.com/susicafe/,https://goo.gl/maps/Jf22eUGgrBLp452K7
雙醬咖哩蘇澳店,270宜蘭縣蘇澳鎮中山路一段126號,宜蘭縣 / 蘇澳鎮,03 996 2588,4.5,19,https://www.facebook.com/%E9%9B%99%E9%86%AC%E5%92%96%E5%93%A9-%E8%98%87%E6%BE%B3%E5%BA%97-104122031813137/?ref=pages_you_manage,https://goo.gl/maps/ToiBatPGgKwT4e5Y8
蒙恩餐飲-火鍋/咖哩炒麵,270宜蘭縣蘇澳鎮福德路474號,宜蘭縣 / 蘇澳鎮,0975 790 852,0,0,https://facebook.com/pg/111146234904081/menu/,https://goo.gl/maps/8ZbyXmxQVbti2aTQ8
