name,address,region,phone,rating,rating_numbers,website,map
向午粮品 手作料理/早午餐/咖哩飯/嘉義美食,600024嘉義市西區建成街20號,嘉義市 / 西區,0979 570 668,4.6,18,https://www.facebook.com/%E5%90%91%E5%8D%88%E7%B2%AE%E5%93%81-110761128126965/,https://goo.gl/maps/5HBKQLRc98qJiUed7
泰泰小姐,600嘉義市西區仁愛路105號,嘉義市 / 西區,0967 130 005,4.7,206,https://www.facebook.com/%E6%B3%B0%E6%B3%B0%E5%B0%8F%E5%A7%90-1081551008681596/?ref=bookmarks,https://goo.gl/maps/hbYu9HVUEmvHPRTS8
舊時光新鮮事-老屋咖哩專賣,600嘉義市西區仁愛路494號,嘉義市 / 西區,05 216 9909,4.6,3055,https://www.facebook.com/NewInAges/,https://g.page/NewInAges?share
雙醬咖哩-友愛店,600嘉義市西區友愛路63號-3號,嘉義市 / 西區,05 291 1566,3.9,15,https://www.facebook.com/%E9%9B%99%E9%86%AC%E5%92%96%E5%96%B1-%E5%98%89%E7%BE%A9%E5%8F%8B%E6%84%9B%E5%BA%97-102038435708435,https://goo.gl/maps/1Xhp29iuw3h7cUrG8
鑫丼,600嘉義市西區文化路17-10號,嘉義市 / 西區,05 225 0059,3.2,145,https://www.facebook.com/CD.0130,https://goo.gl/maps/nyDDzJLrNfEWnW9D6
鮮味握壽司鍋燒麵,600嘉義市西區民生南路422號,嘉義市 / 西區,05 283 8359,4.3,63,https://www.facebook.com/pages/%E9%AE%AE%E5%91%B3-%E6%8F%A1%E5%A3%BD%E5%8F%B8%E9%8D%8B%E7%87%92%E9%BA%B5/1081782141862563,https://goo.gl/maps/vQqFbT8ZYRrcixbi9
好好+慢熟咖哩,600嘉義市西區民生南路69號,嘉義市 / 西區,05 216 6966,4.9,93,https://www.facebook.com/profile.php?id=100075063952748,https://goo.gl/maps/Bfxqq9rrhSgD12AH9
八谷 輕定食 豬排 咖哩,600嘉義市西區民族路621號,嘉義市 / 西區,Nah,4.6,682,https://www.facebook.com/baggubaggu621/,https://goo.gl/maps/fq5XhHYiB1UqReCN9
盛食咖哩店-嘉義店,600嘉義市西區延平街443號,嘉義市 / 西區,05 225 1132,4.5,703,https://www.facebook.com/chengshihcurry/,https://g.page/chengshihcurry?share
品田牧場 嘉義國華店,600嘉義市西區國華街212號,嘉義市 / 西區,05 222 2721,4.7,2401,http://www.pinnada.com.tw/,https://goo.gl/maps/64vWqkuLZNLVR7yM6
