name,address,region,phone,rating,rating_numbers,website,map
川武味本舖咖哩丼飯,800高雄市新興區仁愛二街19號,高雄市 / 新興區,0915 363 326,4.3,418,https://www.facebook.com/KawaTakeJPNCurry/,https://goo.gl/maps/8uNRpwLNxjSjweSS7
一楟家熟成咖喱 / EATINGJIA,80248高雄市苓雅區光明街82-2號,高雄市 / 苓雅區,NAH,4.5,26,https://instagram.com/eatingjia,https://goo.gl/maps/gw4g9ZC1LC1ZQQcD6
No.13 南洋咖哩,802高雄市苓雅區仁智街35號,高雄市 / 苓雅區,0966 000 655,4.5,293,https://www.facebook.com/No13-%E5%8D%97%E6%B4%8B%E5%92%96%E5%93%A9-797715000436833/,https://goo.gl/maps/vzZgFR7bfstxU2TG7
咖哩事典餐廳 熟成老咖哩專賣 高雄青年店,802高雄市苓雅區青年二路91號,高雄市 / 苓雅區,07 338 8811,4.1,792,http://www.currydictionary.com.tw/,https://goo.gl/maps/n2Z4dQhwRxmUNDSq5
上也日式咖哩飯苓雅店,802高雄市苓雅區苓雅一路267號,高雄市 / 苓雅區,07 335 6575,4,116,https://www.facebook.com/%E4%B8%8A%E4%B9%9F%E6%97%A5%E5%BC%8F%E5%92%96%E5%93%A9%E9%A3%AF%E7%B8%BD%E5%BA%97-1996639330611772/,https://goo.gl/maps/rKpPEVxUrLDHSxZZ8
米多利日式咖哩,802高雄市苓雅區廣州一街104號,高雄市 / 苓雅區,07 771 0202,4.3,59,Nah,https://goo.gl/maps/k8rHeUBWPs4T8E5dA
家哩咖哩咖啡研究所,802高雄市苓雅區興中二路37號,高雄市 / 苓雅區,07 333 5515,4.3,108,https://www.facebook.com/%E5%AE%B6%E5%93%A9-%E5%92%96%E5%93%A9%E7%A0%94%E7%A9%B6%E6%89%80-532333223813051/,https://goo.gl/maps/HbiMECCXq93uWnHu6
新咖哩,80344高雄市鹽埕區新化街57號,高雄市 / 鹽埕區,0981 895 812,4,927,https://www.facebook.com/Xin.Curry/?view_public_for=710800492403162,https://goo.gl/maps/iWVX3E7acySsBijc7
咖哩大丈夫,80452高雄市鼓山區龍德路259號1樓,高雄市 / 鼓山區,0982 183 077,4.9,69,https://www.facebook.com/%E5%92%96%E5%93%A9%E5%A4%A7%E4%B8%88%E5%A4%AB-116094276976753/,https://goo.gl/maps/Y9WgecLXVaS7M3K3A
誠食 咖哩,807高雄市三民區大園街8號,高雄市 / 三民區,0975 640 927,4.8,95,https://www.instagram.com/sincerity_curry/,https://g.page/sinceritycurry?share
馬来珍南洋咖哩飯,807高雄市三民區山東街215號,高雄市 / 三民區,0910 710 661,4.9,37,Nah,https://goo.gl/maps/JMfiaTcp7VvW9KSc7
咖哩男高雄總店,807高雄市三民區自由一路35號,高雄市 / 三民區,0974 210 379,4.1,293,https://www.facebook.com/CURRYMAN001,https://g.page/CURRYMAN001?share
茄子咖哩坊,807高雄市三民區延吉街101號,高雄市 / 三民區,07 398 7371,4.1,39,https://www.facebook.com/%E8%8C%84%E4%B9%8B%E5%92%96%E5%93%A9%E5%9D%8A-103031123192321/,https://goo.gl/maps/u7KNe6x9GGcg6HWk9
大珍咖哩專賣店,807高雄市三民區昌裕街216號,高雄市 / 三民區,07 397 7487,4.3,379,Nah,https://goo.gl/maps/mCgtdrudyQzeSzJ56
咖哩事典餐廳 熟成老咖哩專賣 高雄明仁店,807高雄市三民區明仁路53號,高雄市 / 三民區,07 350 2228,3.9,603,https://www.facebook.com/currydictionary/,https://goo.gl/maps/Eb9xJzyxTWNam3fQ9
曾正日式咖哩,807高雄市三民區瀋陽街50號,高雄市 / 三民區,07 313 3005,4.4,609,https://www.facebook.com/pages/%E6%9B%BE%E6%AD%A3%E6%97%A5%E5%BC%8F%E5%92%96%E5%93%A9/283232958517437,https://goo.gl/maps/GuRiCurCcoRaQT6f8
蓋飯先生 - 榛愛咖哩,811高雄市楠梓區土庫二路170號,高雄市 / 楠梓區,07 351 1680,4,225,https://www.facebook.com/%E6%A6%9B%E6%84%9B%E5%92%96%E5%93%A9-%E8%93%8B%E9%A3%AF%E5%85%88%E7%94%9F%E9%A4%90%E9%A3%B2%E4%BA%8B%E6%A5%AD%E6%A5%A0%E6%A2%93%E5%9C%9F%E5%BA%AB%E5%BA%97-479935685711718/,https://goo.gl/maps/vYpAysK4MuPG4cxT8
沐島咖哩研製所,813高雄市左營區富國路401號,高雄市 / 左營區,07 550 9380,4.4,250,https://www.instagram.com/muislandcurry/,https://goo.gl/maps/ztBnognxM9XpZfvS9
而立咖哩,820高雄市岡山區溪西路12號,高雄市 / 岡山區,0909 130 513,4.4,42,https://www.facebook.com/earlycurry2020,https://g.page/earlycurry2020?share
Jimmy's Home 吉米.夢 綠食咖啡館(無固定店休，依粉專公告為主）,825高雄市橋頭區橋頭路94號,高雄市 / 橋頭區,0903 504 419,4.5,218,https://facebook.com/JimmysHome2012?_rdr,https://goo.gl/maps/MkJJPi1cUDaZ7Bfv9
南瓜歐風咖哩,830高雄市鳳山區文鳳路13號,高雄市 / 鳳山區,07 767 7911,4.3,1577,https://www.facebook.com/pumpkincurrypumpkincurry/,https://goo.gl/maps/zhi9YyEu71ckWngy5
