name,address,region,phone,rating,rating_numbers,website,map
Hi！咖哩｜炸物本舖｜東京風‧水果濃醬咖哩,700004台南市中西區海安路一段21號,台南市 / 中西區,06 223 2818,4,227,https://www.facebook.com/hi.curry.fried,https://g.page/HiCurry?share
南夏咖哩（不接受當日訂位）,70002台南市中西區海安路二段30巷7號,台南市 / 中西區,0910 186 131,4.7,73,https://instagram.com/nanatsucurry?igshid=u14lqpiuyw0b,https://g.page/nanatsucurry?share
老騎士咖哩飯專門店,70048台南市中西區永福路二段180號,台南市 / 中西區,06 225 2746,4.1,1404,https://www.facebook.com/CowboyCurry2019/,https://goo.gl/maps/PsNmeiUX8r1egFuR7
咖啡架構 coffee structure,700台南市中西區中山路101號,台南市 / 中西區,06 221 5117,4.4,83,https://www.facebook.com/Coffee-Structure-%E5%92%96%E5%95%A1%E6%9E%B6%E6%A7%8B-118412832183729,https://goo.gl/maps/vMFe7CM28Bn5WJfa6
邦拿 x 咖哩與酒（店休日以FB粉專置頂公告為主）,700台南市中西區正興街141號,台南市 / 中西區,06 223 0666,4.5,188,https://www.facebook.com/funna.foodie/,https://goo.gl/maps/p3rUD34XBuZzGSVDA
田園咖喱,700台南市中西區民族路二段181號,台南市 / 中西區,06 222 9700,4.5,124,https://www.facebook.com/tianyuancurry,https://goo.gl/maps/usBgUtBa37ztpAGEA
果核抵家 Maison the Core(店休時間請見FB/IG公告為主),700台南市中西區民族路二段317巷3號,台南市 / 中西區,06 221 2792,4.5,396,https://www.facebook.com/core20121118/info/?tab=page_info,https://goo.gl/maps/zASZdZt3Q2WzJJ7v9
秀治咖啡簡餐店S.T.coffee meal,700台南市中西區民族路三段19-2號,台南市 / 中西區,06 222 1859,4.5,57,https://www.facebook.com/0956888st,https://g.page/09568888st?share
Cocokara 湯咖哩スープカレー,700台南市中西區民權路二段61號,台南市 / 中西區,0900 000 599,4.4,428,https://www.facebook.com/cocokara.miho/?hc_ref=ARQaayLQ-_NPxhttLQ8K5LJ7ZaR3i4BSyZYqmHFbKhv-bmT6U0qxIwkUzFtYYMsAbcg,https://goo.gl/maps/2tguxRQENg45tRWW8
咖啡珈琲 /巴黎小餐館,700台南市中西區永福路二段146號2樓,台南市 / 中西區,06 214 1506,4.3,353,https://www.facebook.com/abelCoffeeCafe,https://g.page/CoffeeCafetaiwan?share
洋蔥咖哩工房,700台南市中西區永福路二段67號,台南市 / 中西區,06 220 3531,4.3,1123,https://www.facebook.com/%E6%B4%8B%E8%94%A5%E5%92%96%E5%93%A9%E5%B7%A5%E6%88%BF-104845559591017/,https://goo.gl/maps/ijLKDS6aWM3KaFxE7
PIANO，PIANO,700台南市中西區府前路一段342巷19號1樓,台南市 / 中西區,06 222 7579,4.5,285,https://www.facebook.com/PIANOPIANO-141154832635987/,https://goo.gl/maps/1kwDuAqyhMJb31RR8
小東門咖哩-台南府前店,700台南市中西區府前路二段380號,台南市 / 中西區,06 299 0298,4,267,https://www.facebook.com/dongmencurry.fuqiandian/,https://goo.gl/maps/6dJLBaTvp58dbhLt7
雪竇屋咖哩飯,700台南市中西區忠義路一段70號,台南市 / 中西區,06 215 2007,3.9,74,https://www.facebook.com/curryandchi/,https://goo.gl/maps/LFHZmkeM31U8erED9
無責任lrresponsible,700台南市中西區青年路226巷8號,台南市 / 中西區,0979 091 972,4.7,323,https://www.facebook.com/Irresponsibletw/,https://goo.gl/maps/aqD9xeQ5L3AC8paSA
加加家珈琲,700台南市中西區城隍街68號,台南市 / 中西區,0905 322 849,4.7,473,https://www.facebook.com/jiajiayacoffee,https://goo.gl/maps/RhXZY4c9aDrQQfbj8
gui gui foodie 貴貴腹地(現場候位/店休日請看IG),700台南市中西區建業街18號1樓,台南市 / 中西區,0986 180 755,4.7,229,https://www.instagram.com/gui_gui_foodie/,https://g.page/gui-gui-foodie?share
屬於你的咖喱Sunil's Curry,700台南市中西區海安路二段96號,台南市 / 中西區,06 227 2828,4.9,915,https://www.facebook.com/102225302243343/,https://goo.gl/maps/5NidLxoWuXG3qECD6
小精伶咖哩,700台南市中西區國華街二段63號,台南市 / 中西區,0979 606 954,4.7,18,https://www.facebook.com/q1118q/,https://goo.gl/maps/pMdsZXHN15HVB2j68
咖哩鬥陣,700台南市中西區普濟街53號,台南市 / 中西區,0920 403 757,4.9,64,https://www.facebook.com/curryfight,https://goo.gl/maps/EkQWXxMkGCeNFaxy5
熨斗目花珈琲 珈哩WUDAO cafe,700台南市中西區新美街90號,台南市 / 中西區,06 221 2573,4,1503,https://www.facebook.com/wudaocafe/,https://g.page/wudaocafe?share
經典咖哩,70145台南市東區民族路一段88號,台南市 / 東區,0986 668 739,4.3,474,https://www.facebook.com/%E7%B6%93%E5%85%B8%E5%92%96%E5%93%A9-318197334864141/,https://goo.gl/maps/Eyd295sJPifDwJ6Y8
暖食堂 蛋包飯.烏龍麵.小米酒專門店,70145台南市東區育樂街41號,台南市 / 東區,0906 522 185,4.8,198,https://www.facebook.com/%E6%9A%96%E9%A3%9F%E5%A0%82-Nuan-Shokudou-442313282842501/,https://goo.gl/maps/aZAuZcmheGRi58PQ6
